order_id,customer_id,order_date,status,payment_method,delivery_type
O004839,C02665,2026-02-14,completed,Installment,Pickup Point
O004840,C00319,2024-09-15,completed,Cash,Courier
O004841,C04340,2024-09-26,completed,Card,Courier
O004842,C03399,2024-11-03,completed,Card,Pickup Point
O004843,C02412,2025-11-05,completed,Cash,Courier
O004844,C00238,2024-12-22,completed,Card,Post
O004845,C01755,2025-10-07,completed,Installment,Post
O004846,C01488,2025-08-15,completed,Online Wallet,Pickup Point
O004847,C01278,2025-11-25,completed,Card,Post
O004848,C01557,2025-01-25,completed,Card,Courier
O004849,C02923,2025-09-11,completed,Card,Pickup Point
O004850,C02967,2025-11-07,completed,Installment,Post
O004851,C04003,2024-05-15,cancelled,Cash,Post
O004852,C02611,2025-10-10,completed,Installment,Courier
O004853,C00462,2024-12-10,returned,Cash,Post
O004854,C01352,2025-09-04,completed,Card,Pickup Point
O004855,C02793,2026-02-05,completed,Installment,Post
O004856,C02730,2025-10-10,completed,Cash,Pickup Point
O004857,C03094,2025-08-08,cancelled,Cash,Pickup Point
O004858,C02109,2025-04-03,completed,Card,Post
O004859,C04171,2025-05-26,completed,Card,Post
O004860,C03147,2025-08-31,completed,Cash,Courier
O004861,C00612,2024-12-24,completed,Installment,Post
O004862,C02405,2025-01-28,completed,Installment,Courier
O004863,C02077,2026-03-16,cancelled,Card,Courier
O004864,C04430,2025-11-15,completed,Online Wallet,Courier
O004865,C00779,2025-09-21,completed,Installment,Post
O004866,C03272,2025-06-26,completed,Online Wallet,Pickup Point
O004867,C03509,2024-07-05,completed,Cash,Post
O004868,C01053,2024-12-03,completed,Card,Courier
O004869,C04226,2026-02-16,completed,Online Wallet,Pickup Point
O004870,C03971,2026-01-02,completed,Online Wallet,Pickup Point
O004871,C04631,2024-05-05,cancelled,Online Wallet,Post
O004872,C02972,2026-02-28,completed,Online Wallet,Post
O004873,C01018,2025-11-03,completed,Online Wallet,Pickup Point
O004874,C03474,2025-09-24,completed,Installment,Post
O004875,C01722,2025-12-12,completed,Installment,Courier
O004876,C03633,2025-08-05,completed,Online Wallet,Courier
O004877,C03500,2025-06-20,completed,Online Wallet,Pickup Point
O004878,C03240,2024-12-15,completed,Card,Pickup Point
O004879,C00320,2024-03-17,completed,Card,Courier
O004880,C02450,2025-04-06,returned,Online Wallet,Courier
O004881,C00970,2026-01-13,returned,Installment,Pickup Point
O004882,C02845,2025-06-25,completed,Installment,Post
O004883,C01627,2025-10-31,cancelled,Cash,Post
O004884,C00091,2025-09-10,completed,Card,Courier
O004885,C04173,2025-08-19,completed,Cash,Pickup Point
O004886,C03882,2025-10-23,cancelled,Cash,Courier
O004887,C02707,2024-08-23,completed,Card,Pickup Point
O004888,C04862,2025-11-24,cancelled,Card,Courier
O004889,C01483,2025-12-23,returned,Cash,Post
O004890,C03264,2024-07-29,completed,Card,Pickup Point
O004891,C00657,2024-08-04,completed,Card,Courier
O004892,C04427,2023-06-18,completed,Cash,Pickup Point
O004893,C01044,2024-11-05,completed,Installment,Pickup Point
O004894,C04761,2025-11-13,completed,Cash,Courier
O004895,C04079,2025-02-26,cancelled,Installment,Pickup Point
O004896,C03977,2025-12-21,returned,Cash,Post
O004897,C00578,2025-04-09,cancelled,Online Wallet,Post
O004898,C04070,2025-11-27,completed,Installment,Courier
O004899,C02316,2025-08-29,returned,Card,Courier
O004900,C01750,2024-12-22,completed,Installment,Pickup Point
O004901,C01351,2025-06-08,completed,Online Wallet,Post
O004902,C04134,2024-09-19,cancelled,Installment,Pickup Point
O004903,C04911,2025-09-12,completed,Card,Pickup Point
O004904,C04680,2023-06-27,cancelled,Installment,Pickup Point
O004905,C02444,2025-06-22,completed,Installment,Pickup Point
O004906,C00611,2025-11-28,returned,Online Wallet,Post
O004907,C04742,2024-02-27,completed,Card,Courier
O004908,C02274,2025-06-28,completed,Cash,Pickup Point
O004909,C03621,2025-12-22,completed,Card,Post
O004910,C02576,2025-07-17,cancelled,Online Wallet,Post
O004911,C04477,2024-09-19,completed,Card,Pickup Point
O004912,C03334,2025-11-23,completed,Online Wallet,Pickup Point
O004913,C02518,2025-09-02,completed,Online Wallet,Post
O004914,C03103,2025-09-28,completed,Card,Post
O004915,C00042,2025-09-28,completed,Card,Courier
O004916,C02309,2025-10-05,completed,Card,Courier
O004917,C03139,2025-06-02,completed,Online Wallet,Courier
O004918,C01630,2024-08-06,completed,Online Wallet,Pickup Point
O004919,C02514,2026-03-17,completed,Cash,Post
O004920,C02047,2024-10-03,cancelled,Installment,Courier
O004921,C03387,2024-08-28,completed,Cash,Courier
O004922,C02316,2026-03-20,completed,Installment,Pickup Point
O004923,C04752,2025-04-16,cancelled,Card,Pickup Point
O004924,C03240,2025-05-10,completed,Online Wallet,Pickup Point
O004925,C00081,2025-11-19,cancelled,Cash,Post
O004926,C01980,2025-06-13,completed,Online Wallet,Post
O004927,C03021,2025-06-07,completed,Card,Courier
O004928,C04683,2024-04-29,completed,Cash,Pickup Point
O004929,C03505,2024-08-14,returned,Cash,Post
O004930,C03300,2025-10-20,completed,Card,Post
O004931,C03273,2024-11-11,cancelled,Online Wallet,Pickup Point
O004932,C02608,2025-07-11,completed,Cash,Pickup Point
O004933,C04799,2024-10-19,completed,Installment,Courier
O004934,C03714,2026-01-02,completed,Card,Courier
O004935,C01651,2025-07-09,cancelled,Installment,Post
O004936,C04031,2024-12-29,completed,Installment,Post
O004937,C00729,2024-07-06,completed,Installment,Courier
O004938,C04866,2025-12-29,completed,Online Wallet,Pickup Point
O004939,C00563,2026-01-24,completed,Card,Post
O004940,C01434,2026-03-12,completed,Online Wallet,Courier
O004941,C04101,2023-12-07,completed,Installment,Post
O004942,C03874,2025-12-08,completed,Installment,Pickup Point
O004943,C04073,2025-08-04,cancelled,Installment,Pickup Point
O004944,C01548,2025-12-06,completed,Card,Post
O004945,C04615,2026-03-13,completed,Installment,Pickup Point
O004946,C04787,2025-02-04,completed,Installment,Pickup Point
O004947,C03814,2026-02-24,completed,Installment,Pickup Point
O004948,C01325,2025-09-22,completed,Cash,Pickup Point
O004949,C00368,2025-03-28,completed,Card,Courier
O004950,C01774,2026-03-07,completed,Card,Pickup Point
O004951,C02089,2024-12-20,completed,Card,Courier
O004952,C01071,2025-10-16,completed,Installment,Courier
O004953,C01060,2025-10-03,completed,Cash,Pickup Point
O004954,C01442,2024-07-08,completed,Installment,Courier
O004955,C00836,2025-02-15,completed,Card,Post
O004956,C00433,2025-07-23,completed,Card,Post
O004957,C01772,2024-09-07,completed,Online Wallet,Post
O004958,C04246,2025-10-25,completed,Online Wallet,Post
O004959,C04246,2025-11-19,returned,Cash,Courier
O004960,C02422,2025-10-31,returned,Cash,Pickup Point
O004961,C02130,2024-10-24,returned,Card,Post
O004962,C04109,2023-07-13,cancelled,Online Wallet,Pickup Point
O004963,C03147,2024-04-02,completed,Card,Pickup Point
O004964,C00661,2024-01-29,completed,Online Wallet,Courier
O004965,C00720,2024-04-29,completed,Installment,Pickup Point
O004966,C04667,2025-10-26,completed,Card,Pickup Point
O004967,C04032,2026-03-16,completed,Cash,Pickup Point
O004968,C01775,2025-06-03,completed,Cash,Post
O004969,C04452,2024-08-03,completed,Card,Courier
O004970,C03604,2025-01-17,completed,Cash,Courier
O004971,C00027,2025-06-07,completed,Online Wallet,Pickup Point
O004972,C02228,2024-10-04,completed,Card,Pickup Point
O004973,C03966,2025-10-20,completed,Installment,Courier
O004974,C01092,2025-12-10,completed,Installment,Post
O004975,C04441,2025-04-17,completed,Cash,Courier
O004976,C00592,2025-06-08,completed,Card,Post
O004977,C00405,2024-06-12,completed,Installment,Courier
O004978,C01484,2025-11-06,completed,Card,Courier
O004979,C00217,2026-01-23,completed,Online Wallet,Post
O004980,C02856,2025-11-26,completed,Cash,Pickup Point
O004981,C02151,2025-11-19,completed,Installment,Courier
O004982,C02194,2024-04-27,completed,Online Wallet,Post
O004983,C03419,2026-03-21,completed,Installment,Courier
O004984,C03970,2025-06-10,completed,Cash,Pickup Point
O004985,C03335,2023-12-26,completed,Installment,Pickup Point
O004986,C00013,2026-02-27,returned,Cash,Courier
O004987,C04366,2025-05-21,completed,Cash,Courier
O004988,C01763,2024-05-03,completed,Card,Post
O004989,C04500,2025-09-03,completed,Installment,Post
O004990,C02837,2023-09-16,completed,Installment,Post
O004991,C03599,2026-01-26,completed,Online Wallet,Courier
O004992,C00686,2024-10-17,completed,Cash,Pickup Point
O004993,C00594,2026-02-09,cancelled,Cash,Pickup Point
O004994,C04438,2025-07-11,cancelled,Card,Pickup Point
O004995,C00585,2026-02-09,completed,Card,Post
O004996,C01751,2025-09-01,completed,Card,Courier
O004997,C00151,2026-01-29,cancelled,Installment,Post
O004998,C01609,2025-05-06,completed,Online Wallet,Post
O004999,C01242,2024-07-29,completed,Online Wallet,Courier
O005000,C03588,2026-01-21,returned,Cash,Post
O005001,C02280,2026-01-28,cancelled,Online Wallet,Courier
O005002,C02860,2024-11-30,completed,Installment,Courier
O005003,C01125,2025-12-01,completed,Card,Courier
O005004,C01272,2026-03-29,completed,Installment,Pickup Point
O005005,C01736,2025-01-29,completed,Cash,Courier
O005006,C01524,2026-01-23,completed,Card,Post
O005007,C03710,2023-10-23,completed,Online Wallet,Pickup Point
O005008,C02792,2025-12-26,completed,Card,Post
O005009,C04763,2025-06-28,cancelled,Card,Courier
O005010,C03330,2024-01-08,completed,Cash,Pickup Point
O005011,C03347,2025-11-14,completed,Online Wallet,Courier
O005012,C01027,2026-02-05,returned,Card,Post
O005013,C02631,2026-02-05,cancelled,Card,Pickup Point
O005014,C04823,2025-03-04,completed,Card,Pickup Point
O005015,C03963,2026-03-14,cancelled,Online Wallet,Pickup Point
O005016,C02265,2025-08-05,completed,Card,Courier
O005017,C03157,2025-01-21,returned,Card,Post
O005018,C03604,2026-02-06,completed,Installment,Courier
O005019,C03158,2025-12-30,completed,Cash,Courier
O005020,C02460,2025-12-17,completed,Installment,Post
O005021,C02047,2025-02-26,completed,Cash,Pickup Point
O005022,C00005,2025-04-30,completed,Cash,Pickup Point
O005023,C02326,2025-10-09,completed,Installment,Post
O005024,C00995,2024-06-03,completed,Installment,Pickup Point
O005025,C04709,2025-06-25,cancelled,Cash,Post
O005026,C00173,2026-02-22,completed,Online Wallet,Post
O005027,C03729,2026-01-09,cancelled,Installment,Courier
O005028,C03716,2024-05-10,completed,Online Wallet,Courier
O005029,C00343,2024-04-20,completed,Cash,Post
O005030,C01359,2026-03-22,completed,Card,Courier
O005031,C03175,2026-01-03,completed,Cash,Pickup Point
O005032,C01104,2025-08-09,completed,Online Wallet,Pickup Point
O005033,C01535,2025-08-10,completed,Card,Courier
O005034,C01808,2025-06-19,completed,Cash,Pickup Point
O005035,C04822,2024-08-05,completed,Cash,Courier
O005036,C00491,2026-02-19,completed,Installment,Courier
O005037,C03666,2025-06-08,completed,Installment,Post
O005038,C01850,2023-05-04,completed,Online Wallet,Pickup Point
O005039,C03352,2025-10-21,returned,Cash,Courier
O005040,C03033,2025-08-16,cancelled,Installment,Courier
O005041,C02966,2025-12-04,cancelled,Installment,Courier
O005042,C01511,2026-01-25,completed,Card,Post
O005043,C04971,2025-12-14,completed,Online Wallet,Post
O005044,C04570,2024-12-13,completed,Card,Courier
O005045,C01502,2024-09-15,returned,Installment,Pickup Point
O005046,C03326,2026-03-29,completed,Cash,Pickup Point
O005047,C01259,2025-04-12,completed,Installment,Pickup Point
O005048,C03942,2026-03-31,completed,Cash,Courier
O005049,C00625,2025-05-30,returned,Installment,Post
O005050,C00692,2024-09-13,completed,Online Wallet,Courier
O005051,C04617,2025-04-25,completed,Installment,Courier
O005052,C00296,2024-06-15,completed,Card,Courier
O005053,C00888,2025-04-18,completed,Cash,Pickup Point
O005054,C02421,2024-08-11,completed,Installment,Post
O005055,C00835,2026-02-07,completed,Card,Pickup Point
O005056,C00345,2025-12-08,completed,Cash,Pickup Point
O005057,C04701,2026-03-07,completed,Card,Pickup Point
O005058,C02749,2025-02-10,cancelled,Card,Pickup Point
O005059,C01976,2024-03-16,cancelled,Online Wallet,Pickup Point
O005060,C04166,2026-03-17,cancelled,Card,Post
O005061,C00930,2026-03-11,completed,Online Wallet,Courier
O005062,C04413,2025-09-18,completed,Card,Pickup Point
O005063,C04053,2026-03-31,completed,Card,Post
O005064,C02974,2024-03-20,completed,Online Wallet,Courier
O005065,C03676,2024-11-24,completed,Card,Courier
O005066,C00083,2025-10-11,completed,Installment,Post
O005067,C02873,2025-09-29,returned,Cash,Post
O005068,C03225,2025-06-05,completed,Online Wallet,Courier
O005069,C04484,2026-03-20,completed,Online Wallet,Post
O005070,C04905,2024-06-21,cancelled,Installment,Post
O005071,C04633,2025-06-25,completed,Installment,Post
O005072,C02337,2024-06-02,completed,Installment,Pickup Point
O005073,C01566,2025-08-16,completed,Cash,Courier
O005074,C01494,2026-01-03,completed,Online Wallet,Courier
O005075,C03736,2025-03-08,completed,Card,Post
O005076,C01303,2026-02-18,cancelled,Installment,Post
O005077,C00638,2025-03-25,completed,Cash,Post
O005078,C00771,2025-05-19,completed,Installment,Post
O005079,C03017,2023-04-26,completed,Cash,Courier
O005080,C00082,2025-01-19,completed,Cash,Pickup Point
O005081,C03707,2024-05-14,completed,Installment,Pickup Point
O005082,C04673,2026-03-24,completed,Card,Post
O005083,C01271,2026-03-31,completed,Online Wallet,Post
O005084,C03858,2024-12-14,returned,Card,Courier
O005085,C03322,2025-12-19,returned,Cash,Pickup Point
O005086,C01808,2025-06-09,completed,Online Wallet,Courier
O005087,C02424,2025-01-27,completed,Card,Pickup Point
O005088,C02248,2025-08-25,completed,Online Wallet,Post
O005089,C01913,2024-06-05,completed,Online Wallet,Post
O005090,C01695,2025-10-19,completed,Cash,Pickup Point
O005091,C01942,2024-12-29,completed,Cash,Courier
O005092,C00945,2025-08-09,cancelled,Installment,Courier
O005093,C02867,2025-07-06,completed,Installment,Post
O005094,C00240,2023-11-16,completed,Installment,Pickup Point
O005095,C04393,2023-09-04,completed,Card,Pickup Point
O005096,C00527,2025-12-04,completed,Online Wallet,Courier
O005097,C04395,2026-03-26,cancelled,Card,Post
O005098,C00676,2025-08-12,completed,Online Wallet,Post
O005099,C03295,2025-10-08,completed,Card,Post
O005100,C00851,2024-09-10,cancelled,Online Wallet,Courier
O005101,C02573,2026-02-02,completed,Card,Pickup Point
O005102,C00403,2025-10-27,cancelled,Online Wallet,Courier
O005103,C04991,2026-01-02,completed,Card,Post
O005104,C04157,2026-02-15,completed,Online Wallet,Pickup Point
O005105,C01550,2023-11-22,completed,Installment,Courier
O005106,C00652,2024-07-24,completed,Installment,Courier
O005107,C02431,2024-04-19,cancelled,Installment,Pickup Point
O005108,C03563,2025-03-28,completed,Installment,Pickup Point
O005109,C04244,2026-03-16,completed,Online Wallet,Post
O005110,C03202,2026-01-04,completed,Installment,Courier
O005111,C00224,2025-11-30,completed,Cash,Pickup Point
O005112,C01859,2023-05-14,completed,Cash,Courier
O005113,C03545,2025-12-30,completed,Card,Courier
O005114,C00496,2025-12-21,cancelled,Cash,Courier
O005115,C00436,2025-03-28,completed,Card,Pickup Point
O005116,C04012,2025-10-08,completed,Cash,Post
O005117,C03022,2025-03-27,cancelled,Installment,Post
O005118,C00641,2025-04-29,completed,Card,Pickup Point
O005119,C04776,2025-01-03,completed,Card,Pickup Point
O005120,C00474,2026-03-29,completed,Card,Post
O005121,C01246,2026-01-19,completed,Cash,Courier
O005122,C00322,2026-01-13,completed,Online Wallet,Courier
O005123,C00324,2024-12-14,completed,Online Wallet,Post
O005124,C00645,2025-10-16,completed,Card,Post
O005125,C03262,2026-01-23,returned,Installment,Courier
O005126,C04960,2026-01-06,completed,Card,Post
O005127,C05000,2023-09-18,completed,Card,Pickup Point
O005128,C02347,2026-03-19,completed,Cash,Pickup Point
O005129,C01300,2024-01-20,completed,Card,Pickup Point
O005130,C03345,2023-07-14,returned,Cash,Pickup Point
O005131,C04724,2025-06-04,cancelled,Cash,Post
O005132,C02943,2025-09-02,completed,Online Wallet,Pickup Point
O005133,C01172,2024-04-22,cancelled,Card,Pickup Point
O005134,C01883,2024-01-24,completed,Cash,Pickup Point
O005135,C00417,2025-09-28,completed,Online Wallet,Post
O005136,C02845,2025-09-29,completed,Installment,Pickup Point
O005137,C01973,2025-12-27,completed,Installment,Pickup Point
O005138,C01423,2024-08-31,completed,Online Wallet,Courier
O005139,C04872,2025-12-30,completed,Card,Pickup Point
O005140,C03973,2025-07-13,completed,Installment,Post
O005141,C02993,2025-12-28,completed,Online Wallet,Pickup Point
O005142,C01953,2026-01-31,completed,Cash,Post
O005143,C04352,2023-11-14,completed,Card,Post
O005144,C02015,2025-06-04,returned,Installment,Courier
O005145,C00265,2025-06-02,completed,Online Wallet,Courier
O005146,C00429,2025-10-23,completed,Installment,Pickup Point
O005147,C00349,2024-07-26,completed,Cash,Pickup Point
O005148,C02663,2024-12-10,completed,Installment,Post
O005149,C01030,2025-12-16,completed,Online Wallet,Post
O005150,C02434,2024-03-30,completed,Online Wallet,Courier
O005151,C04444,2025-12-20,completed,Installment,Courier
O005152,C03955,2023-08-05,completed,Cash,Courier
O005153,C04807,2025-09-16,completed,Online Wallet,Courier
O005154,C00279,2024-06-08,completed,Card,Courier
O005155,C04466,2023-12-19,completed,Installment,Post
O005156,C01329,2025-08-02,completed,Cash,Post
O005157,C01558,2025-12-19,completed,Card,Post
O005158,C00529,2025-04-08,completed,Installment,Post
O005159,C01811,2025-11-19,completed,Cash,Pickup Point
O005160,C00320,2024-11-02,completed,Cash,Courier
O005161,C03339,2026-03-14,cancelled,Online Wallet,Post
O005162,C00870,2025-08-11,completed,Installment,Pickup Point
O005163,C00671,2026-02-01,completed,Online Wallet,Pickup Point
O005164,C01975,2025-12-24,completed,Card,Post
O005165,C00911,2024-08-03,completed,Online Wallet,Courier
O005166,C03127,2025-04-03,returned,Cash,Post
O005167,C01208,2025-05-06,returned,Cash,Courier
O005168,C04349,2025-01-07,returned,Card,Post
O005169,C02878,2024-09-03,returned,Online Wallet,Courier
O005170,C00700,2025-12-04,completed,Card,Pickup Point
O005171,C02409,2025-12-19,completed,Card,Pickup Point
O005172,C04392,2025-03-17,completed,Online Wallet,Post
O005173,C04348,2024-10-29,completed,Installment,Courier
O005174,C02656,2024-06-22,completed,Installment,Courier
O005175,C03955,2023-06-12,completed,Cash,Courier
O005176,C02277,2025-12-20,completed,Card,Pickup Point
O005177,C00786,2025-09-30,completed,Card,Pickup Point
O005178,C03383,2025-03-24,completed,Card,Courier
O005179,C02024,2024-01-11,completed,Cash,Pickup Point
O005180,C03823,2026-03-06,completed,Cash,Post
O005181,C02350,2025-11-29,completed,Installment,Pickup Point
O005182,C00703,2026-01-23,completed,Card,Post
O005183,C00592,2023-07-25,completed,Online Wallet,Post
O005184,C01912,2025-12-07,completed,Card,Post
O005185,C01271,2025-10-09,returned,Card,Pickup Point
O005186,C01830,2025-09-05,completed,Card,Courier
O005187,C03468,2026-01-31,cancelled,Online Wallet,Courier
O005188,C01571,2025-09-20,returned,Online Wallet,Courier
O005189,C02457,2025-04-03,completed,Online Wallet,Courier
O005190,C02575,2025-08-13,cancelled,Installment,Courier
O005191,C03425,2026-01-10,completed,Installment,Courier
O005192,C03108,2024-07-06,completed,Card,Pickup Point
O005193,C01569,2025-11-22,completed,Cash,Courier
O005194,C04392,2025-09-08,completed,Online Wallet,Post
O005195,C00985,2025-10-17,completed,Online Wallet,Pickup Point
O005196,C02994,2026-03-11,completed,Online Wallet,Courier
O005197,C02313,2025-10-08,completed,Online Wallet,Pickup Point
O005198,C03155,2026-03-03,completed,Cash,Post
O005199,C01807,2025-11-28,completed,Card,Pickup Point
O005200,C01410,2024-03-07,cancelled,Cash,Pickup Point
O005201,C02791,2023-11-29,completed,Card,Courier
O005202,C02603,2025-11-20,completed,Cash,Pickup Point
O005203,C01478,2025-05-08,completed,Installment,Courier
O005204,C01788,2026-03-12,completed,Online Wallet,Pickup Point
O005205,C02947,2024-11-22,completed,Online Wallet,Courier
O005206,C04313,2025-10-31,cancelled,Card,Pickup Point
O005207,C04594,2026-02-12,completed,Online Wallet,Post
O005208,C00269,2026-03-27,completed,Card,Courier
O005209,C01012,2023-08-21,completed,Online Wallet,Post
O005210,C02972,2025-10-16,completed,Installment,Pickup Point
O005211,C00315,2025-05-10,returned,Online Wallet,Courier
O005212,C04291,2024-09-24,completed,Card,Pickup Point
O005213,C04097,2025-11-09,completed,Online Wallet,Pickup Point
O005214,C03263,2025-10-10,completed,Online Wallet,Post
O005215,C04331,2026-01-04,completed,Online Wallet,Post
O005216,C00790,2026-01-20,completed,Cash,Courier
O005217,C04931,2024-09-27,cancelled,Card,Courier
O005218,C02845,2025-03-22,completed,Cash,Pickup Point
O005219,C03574,2025-05-18,completed,Installment,Pickup Point
O005220,C01696,2025-03-07,completed,Installment,Courier
O005221,C00716,2026-01-31,completed,Online Wallet,Pickup Point
O005222,C00475,2026-03-26,cancelled,Card,Pickup Point
O005223,C04799,2025-08-28,completed,Cash,Courier
O005224,C03593,2025-12-11,cancelled,Installment,Post
O005225,C01623,2025-12-04,completed,Card,Post
O005226,C01311,2025-05-25,completed,Card,Courier
O005227,C03481,2025-10-28,cancelled,Cash,Post
O005228,C03904,2025-01-03,completed,Card,Post
O005229,C02773,2023-10-18,completed,Card,Courier
O005230,C02940,2024-12-19,completed,Card,Courier
O005231,C01346,2024-11-01,completed,Online Wallet,Pickup Point
O005232,C01849,2025-11-28,completed,Card,Pickup Point
O005233,C01229,2024-05-24,completed,Installment,Courier
O005234,C00090,2025-06-18,cancelled,Card,Pickup Point
O005235,C03212,2025-05-24,cancelled,Installment,Pickup Point
O005236,C04266,2025-07-02,completed,Installment,Pickup Point
O005237,C02616,2025-09-25,completed,Installment,Courier
O005238,C00189,2025-12-20,completed,Card,Post
O005239,C03902,2025-10-02,completed,Installment,Pickup Point
O005240,C03408,2025-08-19,completed,Online Wallet,Courier
O005241,C03205,2026-03-24,returned,Cash,Post
O005242,C00649,2024-12-28,completed,Online Wallet,Post
O005243,C04745,2025-06-18,cancelled,Cash,Courier
O005244,C04320,2025-07-24,completed,Card,Post
O005245,C01738,2024-01-30,cancelled,Installment,Post
O005246,C02159,2024-11-23,completed,Card,Post
O005247,C01742,2025-05-10,completed,Cash,Post
O005248,C04113,2024-06-16,cancelled,Card,Courier
O005249,C01981,2025-05-13,completed,Online Wallet,Post
O005250,C02761,2025-12-11,completed,Online Wallet,Pickup Point
O005251,C04984,2025-01-19,cancelled,Installment,Post
O005252,C03724,2025-07-24,completed,Cash,Pickup Point
O005253,C03890,2025-08-14,completed,Cash,Pickup Point
O005254,C04115,2025-06-29,completed,Card,Courier
O005255,C00458,2023-02-08,completed,Card,Pickup Point
O005256,C04775,2024-10-14,completed,Card,Courier
O005257,C00627,2024-08-19,cancelled,Online Wallet,Courier
O005258,C00900,2025-11-17,completed,Card,Post
O005259,C04056,2026-02-13,completed,Cash,Courier
O005260,C03417,2026-02-22,completed,Cash,Post
O005261,C00793,2024-09-02,completed,Installment,Pickup Point
O005262,C00742,2025-07-27,completed,Card,Post
O005263,C01049,2026-02-17,completed,Card,Post
O005264,C00278,2024-05-24,completed,Cash,Post
O005265,C02768,2025-08-02,completed,Card,Pickup Point
O005266,C03566,2025-09-22,completed,Installment,Courier
O005267,C01204,2025-09-18,cancelled,Installment,Post
O005268,C03609,2025-12-07,cancelled,Installment,Post
O005269,C01167,2024-11-25,completed,Cash,Courier
O005270,C00345,2026-03-11,completed,Card,Post
O005271,C01149,2025-04-22,completed,Online Wallet,Courier
O005272,C04713,2024-07-13,cancelled,Card,Post
O005273,C02008,2024-10-02,completed,Installment,Pickup Point
O005274,C03373,2026-03-18,completed,Installment,Courier
O005275,C02188,2025-08-10,completed,Cash,Courier
O005276,C02289,2025-06-16,completed,Cash,Post
O005277,C04710,2026-02-21,completed,Installment,Courier
O005278,C01815,2024-10-21,completed,Installment,Post
O005279,C02347,2025-12-31,completed,Online Wallet,Courier
O005280,C02280,2025-01-18,returned,Online Wallet,Courier
O005281,C04366,2025-05-09,cancelled,Cash,Post
O005282,C00725,2026-01-03,completed,Installment,Post
O005283,C00070,2025-04-09,completed,Cash,Pickup Point
O005284,C01191,2024-05-10,cancelled,Card,Pickup Point
O005285,C00672,2025-04-29,completed,Online Wallet,Pickup Point
O005286,C03867,2025-08-31,completed,Card,Pickup Point
O005287,C02464,2024-06-21,cancelled,Card,Courier
O005288,C02591,2025-10-28,cancelled,Online Wallet,Pickup Point
O005289,C01712,2024-07-18,completed,Online Wallet,Pickup Point
O005290,C03038,2023-03-26,returned,Card,Pickup Point
O005291,C00722,2026-03-22,completed,Card,Post
O005292,C03385,2025-09-17,completed,Card,Post
O005293,C03688,2023-09-03,completed,Online Wallet,Courier
O005294,C00060,2024-09-16,completed,Installment,Pickup Point
O005295,C04069,2025-01-06,completed,Card,Post
O005296,C01268,2025-12-30,completed,Online Wallet,Pickup Point
O005297,C01665,2025-02-13,completed,Cash,Post
O005298,C00210,2024-11-17,completed,Card,Post
O005299,C03054,2024-12-15,completed,Installment,Post
O005300,C04566,2025-07-16,completed,Online Wallet,Post
O005301,C00407,2025-11-09,cancelled,Online Wallet,Courier
O005302,C00872,2023-10-01,completed,Cash,Pickup Point
O005303,C04866,2025-09-03,completed,Cash,Post
O005304,C03833,2024-11-23,completed,Card,Post
O005305,C04745,2025-11-22,completed,Installment,Pickup Point
O005306,C02458,2026-02-16,cancelled,Cash,Pickup Point
O005307,C00470,2025-11-24,completed,Online Wallet,Pickup Point
O005308,C04631,2024-08-06,completed,Card,Post
O005309,C04111,2025-12-13,completed,Online Wallet,Courier
O005310,C01313,2024-03-08,completed,Online Wallet,Courier
O005311,C02405,2025-11-30,completed,Installment,Pickup Point
O005312,C01310,2025-05-17,completed,Installment,Courier
O005313,C02165,2025-11-28,completed,Card,Pickup Point
O005314,C00721,2025-11-12,completed,Installment,Courier
O005315,C04240,2025-01-03,completed,Cash,Pickup Point
O005316,C04531,2025-07-14,completed,Installment,Pickup Point
O005317,C03078,2025-09-26,cancelled,Installment,Pickup Point
O005318,C03542,2025-03-14,completed,Online Wallet,Post
O005319,C02070,2025-12-17,completed,Online Wallet,Post
O005320,C02660,2026-02-04,completed,Online Wallet,Courier
O005321,C02787,2026-03-06,completed,Installment,Courier
O005322,C00895,2025-06-07,returned,Cash,Post
O005323,C01001,2026-03-28,completed,Cash,Courier
O005324,C00433,2026-03-24,completed,Cash,Courier
O005325,C01122,2026-01-29,completed,Installment,Post
O005326,C03417,2026-03-29,completed,Installment,Courier
O005327,C04526,2024-07-15,completed,Card,Courier
O005328,C04551,2025-09-14,returned,Installment,Post
O005329,C00210,2025-12-24,completed,Installment,Courier
O005330,C03530,2026-02-20,cancelled,Installment,Courier
O005331,C01743,2025-07-14,completed,Cash,Post
O005332,C03013,2025-12-09,completed,Card,Courier
O005333,C00602,2025-11-26,completed,Cash,Courier
O005334,C01855,2024-05-29,completed,Online Wallet,Post
O005335,C00063,2025-10-06,completed,Installment,Post
O005336,C01256,2025-10-31,completed,Installment,Courier
O005337,C03348,2025-11-26,cancelled,Installment,Post
O005338,C02460,2025-07-10,completed,Cash,Pickup Point
O005339,C01786,2025-10-08,completed,Installment,Pickup Point
O005340,C01595,2025-11-03,completed,Card,Pickup Point
O005341,C00338,2025-10-24,completed,Online Wallet,Courier
O005342,C01217,2025-04-10,returned,Online Wallet,Pickup Point
O005343,C04669,2025-06-09,returned,Cash,Courier
O005344,C00208,2024-04-07,completed,Installment,Pickup Point
O005345,C01190,2025-10-17,completed,Cash,Post
O005346,C03578,2026-01-28,completed,Card,Pickup Point
O005347,C00569,2025-01-31,completed,Online Wallet,Pickup Point
O005348,C01657,2024-11-27,completed,Online Wallet,Courier
